year,state,typical_home_value
2012,South Carolina,136371.940005
2012,South Dakota,148749.982116
2012,Tennessee,130753.250932
2012,Texas,133560.534827
2012,Utah,190176.434116
2012,Vermont,212837.886457
2012,Virginia,212653.557192
2012,Washington,219703.190508
2012,West Virginia,100000.977072
2012,Wisconsin,146038.820470
2012,Wyoming,202075.338823
2013,Alabama,126528.258275
2013,Alaska,260344.020762
2013,Arizona,172729.541978
2013,Arkansas,119097.973781
2013,California,334784.473486
2013,Colorado,233834.413699
2013,Connecticut,230452.345685
2013,Delaware,213241.386744
2013,District of Columbia,411058.260805
2013,Florida,146092.575123
2013,Georgia,128097.544704
2013,Hawaii,436817.982040
2013,Idaho,162045.205056
2013,Illinois,144480.377449
2013,Indiana,112746.144603
2013,Iowa,122122.016130
2013,Kansas,115862.610050
2013,Kentucky,104852.755368
2013,Louisiana,154399.055937
2013,Maine,174491.859242
2013,Maryland,252724.007556
2013,Massachusetts,302997.179885
2013,Michigan,104529.548781
2013,Minnesota,171086.407004
2013,Mississippi,108656.999077
2013,Missouri,121621.423683
2013,Montana,190193.330657
2013,Nebraska,128981.397872
2013,Nevada,160394.439135
2013,New Hampshire,206758.292315
2013,New Jersey,277560.486401
2013,New Mexico,161589.430469
2013,New York,257373.551391
2013,North Carolina,148452.296117
2013,North Dakota,191297.392539
2013,Ohio,111475.169327
2013,Oklahoma,109387.500172
2013,Oregon,215750.041695
2013,Pennsylvania,152010.193695
2013,Rhode Island,212548.418488
2013,South Carolina,140063.999437
2013,South Dakota,157685.722949
2013,Tennessee,134151.401612
2013,Texas,140401.297581
2013,Utah,210507.498421
2013,Vermont,219317.303133
2013,Virginia,222717.652587
2013,Washington,234745.736320
2013,West Virginia,101043.428785
2013,Wisconsin,150044.265754
2013,Wyoming,210114.937765
2014,Alabama,130681.693296
2014,Alaska,264670.933316
2014,Arizona,189961.198206
2014,Arkansas,121309.925473
2014,California,384625.057659
2014,Colorado,252805.917048
2014,Connecticut,234819.298207
2014,Delaware,222655.544813
2014,District of Columbia,454225.078023
2014,Florida,164310.895369
2014,Georgia,141862.927618
2014,Hawaii,474837.603605
2014,Idaho,173602.544216
2014,Illinois,155883.352791
2014,Indiana,116667.211410
2014,Iowa,126598.934282
2014,Kansas,118631.553141
2014,Kentucky,107879.850121
2014,Louisiana,157994.607729
2014,Maine,178776.106602
2014,Maryland,266220.144759
2014,Massachusetts,321364.988637
2014,Michigan,116230.499299
2014,Minnesota,184000.065536
2014,Mississippi,112309.031034
