year,state,median_salary
2021,New Jersey,99170
2022,New Jersey,96010
2023,New Jersey,91590
1984,New Mexico,54240
1985,New Mexico,51930
1986,New Mexico,49640
1987,New Mexico,50230
1988,New Mexico,45020
1989,New Mexico,50520
1990,New Mexico,53370
1991,New Mexico,54590
1992,New Mexico,51870
1993,New Mexico,52380
1994,New Mexico,51540
1995,New Mexico,48640
1996,New Mexico,45740
1997,New Mexico,53700
1998,New Mexico,55540
1999,New Mexico,56200
2000,New Mexico,58520
2001,New Mexico,54020
2002,New Mexico,57110
2003,New Mexico,55390
2004,New Mexico,60900
2005,New Mexico,58270
2006,New Mexico,58190
2007,New Mexico,62870
2008,New Mexico,57570
2009,New Mexico,59780
2010,New Mexico,61120
2011,New Mexico,55140
2012,New Mexico,55960
2013,New Mexico,51140
2014,New Mexico,58610
2015,New Mexico,56680
2016,New Mexico,60330
2017,New Mexico,55800
2018,New Mexico,57920
2019,New Mexico,62780
2020,New Mexico,59550
2021,New Mexico,59870
2022,New Mexico,58660
2023,New Mexico,60980
1984,New York,57910
1985,New York,60100
1986,New York,62600
1987,New York,63840
1988,New York,67470
1989,New York,70400
1990,New York,67340
1991,New York,65390
1992,New York,62290
1993,New York,62040
1994,New York,61100
1995,New York,61800
1996,New York,64560
1997,New York,63900
1998,New York,65850
1999,New York,68990
2000,New York,67950
2001,New York,68680
2002,New York,67600
2003,New York,67520
2004,New York,68730
2005,New York,70580
2006,New York,70110
2007,New York,69380
2008,New York,69000
2009,New York,68940
2010,New York,67420
2011,New York,66510
2012,New York,61440
2013,New York,63620
2014,New York,68180
2015,New York,72870
2016,New York,76500
2017,New York,75310
2018,New York,80700
2019,New York,84940
2020,New York,80320
2021,New York,81660
2022,New York,78920
2023,New York,81600
1984,North Carolina,54080
1985,North Carolina,54540
1986,North Carolina,54680
1987,North Carolina,55070
1988,North Carolina,56970
1989,North Carolina,59020
1990,North Carolina,56120
1991,North Carolina,55230
1992,North Carolina,55710
1993,North Carolina,56410
1994,North Carolina,57680
1995,North Carolina,59840
1996,North Carolina,64910
1997,North Carolina,63970
1998,North Carolina,63110
1999,North Carolina,64270
2000,North Carolina,63900
2001,North Carolina,62240
2002,North Carolina,58820
2003,North Carolina,58820
2004,North Carolina,61940
2005,North Carolina,62920
2006,North Carolina,57860
2007,North Carolina,61680
2008,North Carolina,58700
2009,North Carolina,57530
2010,North Carolina,59360
2011,North Carolina,59380
2012,North Carolina,53550
2013,North Carolina,59000
2014,North Carolina,58730
2015,North Carolina,63820
2016,North Carolina,66950
2017,North Carolina,60630
2018,North Carolina,64020
2019,North Carolina,72290
2020,North Carolina,70700
2021,North Carolina,70430
2022,North Carolina,67660
2023,North Carolina,68610
1984,North Dakota,54610
1985,North Dakota,53920
1986,North Dakota,53800
1987,North Dakota,54630
1988,North Dakota,56210
1989,North Dakota,56390
1990,North Dakota,53850
1991,North Dakota,53260
1992,North Dakota,54080
1993,North Dakota,55040
1994,North Dakota,54170
1995,North Dakota,54430
1996,North Dakota,57370
1997,North Dakota,56510
1998,North Dakota,53360
1999,North Dakota,56350
2000,North Dakota,60030
2001,North Dakota,58370
2002,North Dakota,58310
2003,North Dakota,63760
2004,North Dakota,60370
2005,North Dakota,63120
2006,North Dakota,59680
2007,North Dakota,66910
2008,North Dakota,67860
2009,North Dakota,68750
2010,North Dakota,69080
2011,North Dakota,74030
2012,North Dakota,71860
2013,North Dakota,75310
2014,North Dakota,76240
2015,North Dakota,72130
2016,North Dakota,74940
2017,North Dakota,73630
2018,North Dakota,79780
2019,North Dakota,82780
2020,North Dakota,75010
2021,North Dakota,77140
2022,North Dakota,81840
2023,North Dakota,76960
1984,Ohio,60790
1985,Ohio,64010
1986,Ohio,62820
1987,Ohio,62360
1988,Ohio,64730
1989,Ohio,64870
1990,Ohio,63980
1991,Ohio,61270
1992,Ohio,62990
1993,Ohio,61240
1994,Ohio,61020
1995,Ohio,65380
1996,Ohio,62110
1997,Ohio,64500
1998,Ohio,68540
1999,Ohio,68120
2000,Ohio,71650
2001,Ohio,68150
2002,Ohio,68760
2003,Ohio,68670
2004,Ohio,66280
2005,Ohio,66130
2006,Ohio,66730
2007,Ohio,69600
2008,Ohio,64180
2009,Ohio,62990
2010,Ohio,62140
2011,Ohio,58650
2012,Ohio,57180
2013,Ohio,64610
2014,Ohio,62320
2015,Ohio,66960
2016,Ohio,67220
2017,Ohio,74270
2018,Ohio,73930
2019,Ohio,76440
2020,Ohio,70640
2021,Ohio,70200
2022,Ohio,70200
2023,Ohio,73770
1984,Oklahoma,55600
1985,Oklahoma,53920
1986,Oklahoma,52400
1987,Oklahoma,52480
1988,Oklahoma,55220
1989,Oklahoma,52900
1990,Oklahoma,51980
1991,Oklahoma,52370
1992,Oklahoma,50720
1993,Oklahoma,51400
1994,Oklahoma,51700
1995,Oklahoma,49240
1996,Oklahoma,50020
1997,Oklahoma,55960
1998,Oklahoma,59390
1999,Oklahoma,56380
2000,Oklahoma,54090
2001,Oklahoma,58070
2002,Oklahoma,58730
2003,Oklahoma,56650
2004,Oklahoma,60980
2005,Oklahoma,56320
2006,Oklahoma,56460
2007,Oklahoma,61260
2008,Oklahoma,63050
2009,Oklahoma,62990
2010,Oklahoma,58370
2011,Oklahoma,63650
2012,Oklahoma,62380
2013,Oklahoma,58770
2014,Oklahoma,59250
2015,Oklahoma,59140
2016,Oklahoma,63440
2017,Oklahoma,63490
2018,Oklahoma,65300
2019,Oklahoma,70210
2020,Oklahoma,61380
2021,Oklahoma,67300
2022,Oklahoma,65960
2023,Oklahoma,67330
1984,Oregon,56260
1985,Oregon,55670
1986,Oregon,61970
1987,Oregon,60580
1988,Oregon,64750
1989,Oregon,63770
1990,Oregon,62410
1991,Oregon,62100
1992,Oregon,64040
1993,Oregon,64870
1994,Oregon,60260
1995,Oregon,68070
1996,Oregon,64710
1997,Oregon,66480
1998,Oregon,68790
1999,Oregon,70070
2000,Oregon,70870
2001,Oregon,67310
2002,Oregon,67330
2003,Oregon,65700
2004,Oregon,63100
2005,Oregon,66060
2006,Oregon,68460
2007,Oregon,71210
2008,Oregon,70730
2009,Oregon,67410
2010,Oregon,68530
2011,Oregon,67680
2012,Oregon,66720
2013,Oregon,62390
2014,Oregon,73910
2015,Oregon,76420
2016,Oregon,73640
2017,Oregon,76480
2018,Oregon,82970
2019,Oregon,87960
2020,Oregon,89910
2021,Oregon,91660
2022,Oregon,90230
2023,Oregon,88740
1984,Pennsylvania,53490
1985,Pennsylvania,58170
1986,Pennsylvania,59550
1987,Pennsylvania,61520
1988,Pennsylvania,62400
1989,Pennsylvania,64130
1990,Pennsylvania,61830
1991,Pennsylvania,62460
1992,Pennsylvania,59940
1993,Pennsylvania,60670
1994,Pennsylvania,61420
1995,Pennsylvania,64600
1996,Pennsylvania,63630
1997,Pennsylvania,66960
1998,Pennsylvania,68700
1999,Pennsylvania,65140
2000,Pennsylvania,70330
2001,Pennsylvania,70940
2002,Pennsylvania,68460
2003,Pennsylvania,67740
2004,Pennsylvania,67900
2005,Pennsylvania,69270
2006,Pennsylvania,70480
2007,Pennsylvania,68660
2008,Pennsylvania,70290
2009,Pennsylvania,66130
2010,Pennsylvania,65430
2011,Pennsylvania,65560
2012,Pennsylvania,66890
2013,Pennsylvania,70220
2014,Pennsylvania,69260
2015,Pennsylvania,75870
2016,Pennsylvania,75930
2017,Pennsylvania,75000
2018,Pennsylvania,77400
2019,Pennsylvania,83430
2020,Pennsylvania,82810
2021,Pennsylvania,81330
2022,Pennsylvania,75070
2023,Pennsylvania,79820
1984,Rhode Island,56820
1985,Rhode Island,62610
1986,Rhode Island,66390
1987,Rhode Island,68460
1988,Rhode Island,69630
1989,Rhode Island,67330
1990,Rhode Island,68140
1991,Rhode Island,63420
1992,Rhode Island,61040
1993,Rhode Island,65590
1994,Rhode Island,61160
1995,Rhode Island,66170
1996,Rhode Island,67430
1997,Rhode Island,62110
1998,Rhode Island,71640
1999,Rhode Island,73700
2000,Rhode Island,70370
2001,Rhode Island,74570
2002,Rhode Island,68330
2003,Rhode Island,70550
2004,Rhode Island,73790
2005,Rhode Island,74030
2006,Rhode Island,78120
2007,Rhode Island,76840
2008,Rhode Island,72800
2009,Rhode Island,70890
2010,Rhode Island,69910
2011,Rhode Island,64410
2012,Rhode Island,72250
2013,Rhode Island,71710
2014,Rhode Island,73600
2015,Rhode Island,69980
2016,Rhode Island,76620
2017,Rhode Island,80030
2018,Rhode Island,74690
2019,Rhode Island,82920
2020,Rhode Island,93790
2021,Rhode Island,83970
2022,Rhode Island,83860
2023,Rhode Island,81860
1984,South Carolina,53390
1985,South Carolina,50940
1986,South Carolina,54950
1987,South Carolina,60610
1988,South Carolina,59580
1989,South Carolina,53190
1990,South Carolina,61250
1991,South Carolina,56490
1992,South Carolina,55320
1993,South Carolina,51000
1994,South Carolina,57170
1995,South Carolina,54400
1996,South Carolina,63200
1997,South Carolina,61150
1998,South Carolina,58580
1999,South Carolina,62900
2000,South Carolina,62650
2001,South Carolina,61540
2002,South Carolina,60910
2003,South Carolina,60720
2004,South Carolina,59560
2005,South Carolina,60190
2006,South Carolina,57600
2007,South Carolina,62670
2008,South Carolina,57640
2009,South Carolina,56430
2010,South Carolina,56470
2011,South Carolina,52650
2012,South Carolina,57220
2013,South Carolina,55460
2014,South Carolina,56400
2015,South Carolina,58240
2016,South Carolina,67660
2017,South Carolina,66740
2018,South Carolina,68910
2019,South Carolina,73320
2020,South Carolina,70590
2021,South Carolina,70040
2022,South Carolina,64220
2023,South Carolina,69100
1984,South Dakota,51030
1985,South Dakota,46130
1986,South Dakota,49770
1987,South Dakota,51180
1988,South Dakota,52020
1989,South Dakota,53890
1990,South Dakota,52380
1991,South Dakota,50680
1992,South Dakota,52670
1993,South Dakota,54290
1994,South Dakota,56950
1995,South Dakota,55350
1996,South Dakota,53830
1997,South Dakota,53000
1998,South Dakota,57730
1999,South Dakota,61810
2000,South Dakota,60830
2001,South Dakota,64700
2002,South Dakota,61010
2003,South Dakota,62360
2004,South Dakota,63280
2005,South Dakota,64560
2006,South Dakota,66040
2007,South Dakota,65800
2008,South Dakota,70560
2009,South Dakota,62910
2010,South Dakota,61420
2011,South Dakota,62030
2012,South Dakota,63680
2013,South Dakota,68010
2014,South Dakota,66600
2015,South Dakota,69180
2016,South Dakota,71540
2017,South Dakota,69650
2018,South Dakota,71330
2019,South Dakota,75950
2020,South Dakota,82110
2021,South Dakota,82750
2022,South Dakota,69850
2023,South Dakota,81740
1984,Tennessee,44120
1985,Tennessee,45200
1986,Tennessee,45670
1987,Tennessee,51250
1988,Tennessee,48660
1989,Tennessee,50540
1990,Tennessee,48160
1991,Tennessee,50300
1992,Tennessee,48780
1993,Tennessee,49140
1994,Tennessee,54860
1995,Tennessee,54300
1996,Tennessee,56130
1997,Tennessee,54680
1998,Tennessee,60030
1999,Tennessee,63010
2000,Tennessee,56860
2001,Tennessee,58360
2002,Tennessee,59650
2003,Tennessee,59210
2004,Tennessee,58610
2005,Tennessee,58950
2006,Tennessee,59160
2007,Tennessee,58390
2008,Tennessee,54290
2009,Tennessee,55630
2010,Tennessee,52260
2011,Tennessee,55530
2012,Tennessee,55400
2013,Tennessee,55210
2014,Tennessee,54880
2015,Tennessee,59460
2016,Tennessee,63940
2017,Tennessee,67680
2018,Tennessee,67250
2019,Tennessee,66940
2020,Tennessee,64310
2021,Tennessee,69610
2022,Tennessee,67980
2023,Tennessee,72700
1984,Texas,60530
1985,Texas,60370
1986,Texas,60440
1987,Texas,59820
1988,Texas,58250
1989,Texas,57860
1990,Texas,60170
1991,Texas,57040
1992,Texas,56070
1993,Texas,56230
1994,Texas,58910
1995,Texas,59950
1996,Texas,60300
1997,Texas,62610
1998,Texas,63010
1999,Texas,66740
2000,Texas,64390
2001,Texas,66640
2002,Texas,64670
2003,Texas,61970
2004,Texas,63730
2005,Texas,61970
2006,Texas,62960
2007,Texas,65280
2008,Texas,63570
2009,Texas,65180
2010,Texas,64010
2011,Texas,64420
2012,Texas,66910
2013,Texas,65450
2014,Texas,67630
2015,Texas,70950
2016,Texas,72410
2017,Texas,73540
2018,Texas,71720
2019,Texas,79720
2020,Texas,80020
2021,Texas,75480
2022,Texas,77600
2023,Texas,79060
1984,Utah,60620
1985,Utah,64170
1986,Utah,65740
1987,Utah,64190
1988,Utah,61400
1989,Utah,68660
1990,Utah,64250
1991,Utah,57620
1992,Utah,68700
1993,Utah,70050
1994,Utah,68420
1995,Utah,68260
1996,Utah,67530
1997,Utah,76350
1998,Utah,78000
1999,Utah,79440
2000,Utah,79300
2001,Utah,77210
2002,Utah,77090
2003,Utah,77750
2004,Utah,78310
2005,Utah,82000
2006,Utah,79420
2007,Utah,75880
2008,Utah,85510
2009,Utah,80300
2010,Utah,76790
2011,Utah,72890
2012,Utah,75180
2013,Utah,77730
2014,Utah,79570
2015,Utah,83240
2016,Utah,84030
2017,Utah,85400
2018,Utah,92450
2019,Utah,99910
2020,Utah,98260
2021,Utah,98150
2022,Utah,99610
2023,Utah,101200
1984,Vermont,59360
1985,Vermont,66110
1986,Vermont,61530
1987,Vermont,61490
1988,Vermont,67640
1989,Vermont,69950
1990,Vermont,66290
1991,Vermont,59970
1992,Vermont,65700
1993,Vermont,60810
1994,Vermont,68580
1995,Vermont,63290
1996,Vermont,58990
1997,Vermont,62570
1998,Vermont,69330
1999,Vermont,71740
2000,Vermont,66030
2001,Vermont,66530
2002,Vermont,69260
2003,Vermont,68260
2004,Vermont,72860
2005,Vermont,75860
2006,Vermont,75570
2007,Vermont,67180
2008,Vermont,69330
2009,Vermont,71830
2010,Vermont,75740
2011,Vermont,68120
2012,Vermont,71620
2013,Vermont,83410
2014,Vermont,76210
2015,Vermont,74740
2016,Vermont,75760
2017,Vermont,77930
2018,Vermont,84050
2019,Vermont,87830
2020,Vermont,78680
2021,Vermont,85190
2022,Vermont,75060
2023,Vermont,85190
1984,Virginia,69740
1985,Virginia,72280
1986,Virginia,74330
1987,Virginia,72580
1988,Virginia,76180
1989,Virginia,76260
1990,Virginia,74760
1991,Virginia,74330
1992,Virginia,76620
1993,Virginia,71310
1994,Virginia,72110
1995,Virginia,67780
1996,Virginia,71490
1997,Virginia,76670
1998,Virginia,76340
1999,Virginia,78830
2000,Virginia,78650
2001,Virginia,81940
2002,Virginia,79950
2003,Virginia,86440
2004,Virginia,78720
2005,Virginia,77670
2006,Virginia,83040
2007,Virginia,83860
2008,Virginia,84760
2009,Virginia,83060
2010,Virginia,81750
2011,Virginia,82250
2012,Virginia,83290
2013,Virginia,83910
2014,Virginia,83050
2015,Virginia,77240
2016,Virginia,82750
2017,Virginia,86650
2018,Virginia,92550
2019,Virginia,96120
2020,Virginia,96180
2021,Virginia,89890
2022,Virginia,88550
2023,Virginia,96490
1984,Washington,65770
1985,Washington,61020
1986,Washington,67240
1987,Washington,66100
1988,Washington,75430
1989,Washington,71440
1990,Washington,68450
1991,Washington,69870
1992,Washington,68000
1993,Washington,69790
1994,Washington,64230
1995,Washington,66560
1996,Washington,66870
1997,Washington,79540
1998,Washington,83500
1999,Washington,78450
2000,Washington,70920
2001,Washington,69300
2002,Washington,72780
2003,Washington,74960
2004,Washington,76850
2005,Washington,75770
2006,Washington,79560
2007,Washington,82330
2008,Washington,77440
2009,Washington,82910
2010,Washington,76060
2011,Washington,74670
2012,Washington,80140
2013,Washington,81390
2014,Washington,74150
2015,Washington,84480
2016,Washington,87550
2017,Washington,87550
2018,Washington,95640
2019,Washington,97470
2020,Washington,95180
2021,Washington,98150
2022,Washington,92980
2023,Washington,93440
1984,West Virginia,44280
1985,West Virginia,40640
1986,West Virginia,41180
1987,West Virginia,41630
1988,West Virginia,45160
1989,West Virginia,48450
1990,West Virginia,47190
1991,West Virginia,47610
1992,West Virginia,40660
1993,West Virginia,43890
1994,West Virginia,45140
1995,West Virginia,46560
1996,West Virginia,46030
1997,West Virginia,49060
1998,West Virginia,47020
1999,West Virginia,50540
2000,West Virginia,49050
2001,West Virginia,48390
2002,West Virginia,47290
2003,West Virginia,51700
2004,West Virginia,51370
2005,West Virginia,54520
2006,West Virginia,55860
2007,West Virginia,59660
2008,West Virginia,51950
2009,West Virginia,55590
2010,West Virginia,57930
2011,West Virginia,54930
2012,West Virginia,56120
2013,West Virginia,54840
2014,West Virginia,49650
2015,West Virginia,53800
2016,West Virginia,55230
2017,West Virginia,57460
2018,West Virginia,60670
2019,West Virginia,63480
2020,West Virginia,60800
2021,West Virginia,52450
2022,West Virginia,54540
2023,West Virginia,60410
1984,Wisconsin,54530
1985,Wisconsin,59110
1986,Wisconsin,66110
1987,Wisconsin,63800
1988,Wisconsin,69010
1989,Wisconsin,65100
1990,Wisconsin,65460
1991,Wisconsin,64040
1992,Wisconsin,66810
1993,Wisconsin,62180
1994,Wisconsin,67790
1995,Wisconsin,76640
1996,Wisconsin,72930
1997,Wisconsin,70670
1998,Wisconsin,72770
1999,Wisconsin,78780
2000,Wisconsin,75190
2001,Wisconsin,73950
2002,Wisconsin,73940
2003,Wisconsin,73010
2004,Wisconsin,70400
2005,Wisconsin,66800
2006,Wisconsin,75150
2007,Wisconsin,72690
2008,Wisconsin,70010
2009,Wisconsin,70340
2010,Wisconsin,68190
2011,Wisconsin,68380
2012,Wisconsin,68400
2013,Wisconsin,65860
2014,Wisconsin,72910
2015,Wisconsin,69630
2016,Wisconsin,74490
2017,Wisconsin,77690
2018,Wisconsin,75130
2019,Wisconsin,79620
2020,Wisconsin,78860
2021,Wisconsin,78320
2022,Wisconsin,76240
2023,Wisconsin,79690
1984,Wyoming,62610
1985,Wyoming,56140
1986,Wyoming,58930
1987,Wyoming,66760
1988,Wyoming,61640
1989,Wyoming,65990
1990,Wyoming,62800
1991,Wyoming,59750
1992,Wyoming,60600
1993,Wyoming,57630
1994,Wyoming,63480
1995,Wyoming,59000
1996,Wyoming,56430
1997,Wyoming,59660
1998,Wyoming,62070
1999,Wyoming,64260
2000,Wyoming,66090
2001,Wyoming,64780
2002,Wyoming,64050
2003,Wyoming,67150
2004,Wyoming,69880
2005,Wyoming,66900
2006,Wyoming,68390
2007,Wyoming,69090
2008,Wyoming,72930
2009,Wyoming,72040
2010,Wyoming,70700
2011,Wyoming,71600
2012,Wyoming,74110
2013,Wyoming,85870
2014,Wyoming,69910
2015,Wyoming,76540
2016,Wyoming,72010
2017,Wyoming,72860
2018,Wyoming,75020
2019,Wyoming,76990
2020,Wyoming,76570
2021,Wyoming,79570
2022,Wyoming,76000
2023,Wyoming,77200
